Codice Regione;"Codice dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Codice Provincia (Storico)(1);Progressivo del Comune (2);Codice Comune formato alfanumerico;Denominazione (Italiana e straniera);Denominazione in italiano;Denominazione altra lingua;Codice Ripartizione Geografica;Ripartizione geografica;Denominazione Regione;"Denominazione dell'Unità territoriale sovracomunale 
(valida a fini statistici)";Tipologia di Unità territoriale sovracomunale ;Flag Comune capoluogo di provincia/città metropolitana/libero consorzio;Sigla automobilistica;Codice Comune formato numerico;Codice Comune numerico con 110 province (dal 2010 al 2016);Codice Comune numerico con 107 province (dal 2006 al 2009);Codice Comune numerico con 103 province (dal 1995 al 2005);Codice Catastale del comune;Codice NUTS1 2021;Codice NUTS2 2021 (3) ;Codice NUTS3 2021;Codice NUTS1 2024;Codice NUTS2 2024 (3) ;Codice NUTS3 2024
15;065;065;023;065023;Campora;Campora;;4;Sud;Campania;Salerno;1;0;SA;65023;65023;65023;65023;B555;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;024;065024;Cannalonga;Cannalonga;;4;Sud;Campania;Salerno;1;0;SA;65024;65024;65024;65024;B608;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;025;065025;Capaccio Paestum;Capaccio Paestum;;4;Sud;Campania;Salerno;1;0;SA;65025;65025;65025;65025;B644;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;026;065026;Casalbuono;Casalbuono;;4;Sud;Campania;Salerno;1;0;SA;65026;65026;65026;65026;B868;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;027;065027;Casaletto Spartano;Casaletto Spartano;;4;Sud;Campania;Salerno;1;0;SA;65027;65027;65027;65027;B888;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;028;065028;Casal Velino;Casal Velino;;4;Sud;Campania;Salerno;1;0;SA;65028;65028;65028;65028;B895;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;029;065029;Caselle in Pittari;Caselle in Pittari;;4;Sud;Campania;Salerno;1;0;SA;65029;65029;65029;65029;B959;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;030;065030;Castelcivita;Castelcivita;;4;Sud;Campania;Salerno;1;0;SA;65030;65030;65030;65030;C069;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;031;065031;Castellabate;Castellabate;;4;Sud;Campania;Salerno;1;0;SA;65031;65031;65031;65031;C125;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;032;065032;Castelnuovo Cilento;Castelnuovo Cilento;;4;Sud;Campania;Salerno;1;0;SA;65032;65032;65032;65032;C231;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;033;065033;Castelnuovo di Conza;Castelnuovo di Conza;;4;Sud;Campania;Salerno;1;0;SA;65033;65033;65033;65033;C235;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;034;065034;Castel San Giorgio;Castel San Giorgio;;4;Sud;Campania;Salerno;1;0;SA;65034;65034;65034;65034;C259;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;035;065035;Castel San Lorenzo;Castel San Lorenzo;;4;Sud;Campania;Salerno;1;0;SA;65035;65035;65035;65035;C262;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;036;065036;Castiglione del Genovesi;Castiglione del Genovesi;;4;Sud;Campania;Salerno;1;0;SA;65036;65036;65036;65036;C306;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;037;065037;Cava de' Tirreni;Cava de' Tirreni;;4;Sud;Campania;Salerno;1;0;SA;65037;65037;65037;65037;C361;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;038;065038;Celle di Bulgheria;Celle di Bulgheria;;4;Sud;Campania;Salerno;1;0;SA;65038;65038;65038;65038;C444;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;039;065039;Centola;Centola;;4;Sud;Campania;Salerno;1;0;SA;65039;65039;65039;65039;C470;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;040;065040;Ceraso;Ceraso;;4;Sud;Campania;Salerno;1;0;SA;65040;65040;65040;65040;C485;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;041;065041;Cetara;Cetara;;4;Sud;Campania;Salerno;1;0;SA;65041;65041;65041;65041;C584;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;042;065042;Cicerale;Cicerale;;4;Sud;Campania;Salerno;1;0;SA;65042;65042;65042;65042;C676;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;043;065043;Colliano;Colliano;;4;Sud;Campania;Salerno;1;0;SA;65043;65043;65043;65043;C879;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;044;065044;Conca dei Marini;Conca dei Marini;;4;Sud;Campania;Salerno;1;0;SA;65044;65044;65044;65044;C940;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;045;065045;Controne;Controne;;4;Sud;Campania;Salerno;1;0;SA;65045;65045;65045;65045;C973;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;046;065046;Contursi Terme;Contursi Terme;;4;Sud;Campania;Salerno;1;0;SA;65046;65046;65046;65046;C974;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;047;065047;Corbara;Corbara;;4;Sud;Campania;Salerno;1;0;SA;65047;65047;65047;65047;C984;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;048;065048;Corleto Monforte;Corleto Monforte;;4;Sud;Campania;Salerno;1;0;SA;65048;65048;65048;65048;D011;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;049;065049;Cuccaro Vetere;Cuccaro Vetere;;4;Sud;Campania;Salerno;1;0;SA;65049;65049;65049;65049;D195;ITF;ITF3;ITF35;ITF;ITF3;ITF35
15;065;065;050;065050;Eboli;Eboli;;4;Sud;Campania;Salerno;1;0;SA;65050;65050;65050;65050;D390;ITF;ITF3;ITF35;ITF;ITF3;ITF35
